model,scenario,year,n_days,n_valid
MIROC-ESM,rcp60,2032,365,365
MIROC-ESM,rcp60,2033,365,365
MIROC-ESM,rcp60,2034,365,365
MIROC-ESM,rcp60,2035,365,365
MIROC-ESM,rcp60,2036,365,365
MIROC-ESM,rcp85,2006,365,365
MIROC-ESM,rcp85,2007,365,365
MIROC-ESM,rcp85,2008,365,365
MIROC-ESM,rcp85,2009,365,365
MIROC-ESM,rcp85,2010,365,365
MIROC-ESM,rcp85,2011,365,365
MIROC-ESM,rcp85,2012,365,365
MIROC-ESM,rcp85,2013,365,365
MIROC-ESM,rcp85,2014,365,365
MIROC-ESM,rcp85,2015,365,365
MIROC-ESM,rcp85,2016,365,365
MIROC-ESM,rcp85,2017,365,365
MIROC-ESM,rcp85,2018,365,365
MIROC-ESM,rcp85,2019,365,365
MIROC-ESM,rcp85,2020,365,365
MIROC-ESM,rcp85,2021,365,365
MIROC-ESM,rcp85,2022,365,365
MIROC-ESM,rcp85,2023,365,365
MIROC-ESM,rcp85,2024,365,365
MIROC-ESM,rcp85,2025,365,365
MIROC-ESM,rcp85,2026,365,365
MIROC-ESM,rcp85,2027,365,365
MIROC-ESM,rcp85,2028,365,365
MIROC-ESM,rcp85,2029,365,365
MIROC-ESM,rcp85,2030,365,365
MIROC-ESM,rcp85,2031,365,365
MIROC-ESM,rcp85,2032,365,365
MIROC-ESM,rcp85,2033,365,365
MIROC-ESM,rcp85,2034,365,365
MIROC-ESM,rcp85,2035,365,365
MIROC-ESM,rcp85,2036,365,365
MIROC-ESM-CHEM,historical,2000,365,365
MIROC-ESM-CHEM,historical,2001,365,365
MIROC-ESM-CHEM,historical,2002,365,365
MIROC-ESM-CHEM,historical,2003,365,365
MIROC-ESM-CHEM,historical,2004,365,365
MIROC-ESM-CHEM,historical,2005,365,365
MIROC-ESM-CHEM,rcp26,2006,365,365
MIROC-ESM-CHEM,rcp26,2007,365,365
MIROC-ESM-CHEM,rcp26,2008,365,365
MIROC-ESM-CHEM,rcp26,2009,365,365
MIROC-ESM-CHEM,rcp26,2010,365,365
MIROC-ESM-CHEM,rcp26,2011,365,365
MIROC-ESM-CHEM,rcp26,2012,365,365
MIROC-ESM-CHEM,rcp26,2013,365,365
MIROC-ESM-CHEM,rcp26,2014,365,365
MIROC-ESM-CHEM,rcp26,2015,365,365
MIROC-ESM-CHEM,rcp26,2016,365,365
MIROC-ESM-CHEM,rcp26,2017,365,365
MIROC-ESM-CHEM,rcp26,2018,365,365
MIROC-ESM-CHEM,rcp26,2019,365,365
MIROC-ESM-CHEM,rcp26,2020,365,365
MIROC-ESM-CHEM,rcp26,2021,365,365
MIROC-ESM-CHEM,rcp26,2022,365,365
MIROC-ESM-CHEM,rcp26,2023,365,365
MIROC-ESM-CHEM,rcp26,2024,365,365
MIROC-ESM-CHEM,rcp26,2025,365,365
MIROC-ESM-CHEM,rcp26,2026,365,365
MIROC-ESM-CHEM,rcp26,2027,365,365
MIROC-ESM-CHEM,rcp26,2028,365,365
MIROC-ESM-CHEM,rcp26,2029,365,365
MIROC-ESM-CHEM,rcp26,2030,365,365
MIROC-ESM-CHEM,rcp26,2031,365,365
MIROC-ESM-CHEM,rcp26,2032,365,365
MIROC-ESM-CHEM,rcp26,2033,365,365
MIROC-ESM-CHEM,rcp26,2034,365,365
MIROC-ESM-CHEM,rcp26,2035,365,365
MIROC-ESM-CHEM,rcp26,2036,365,365
MIROC-ESM-CHEM,rcp45,2006,365,365
MIROC-ESM-CHEM,rcp45,2007,365,365
MIROC-ESM-CHEM,rcp45,2008,365,365
MIROC-ESM-CHEM,rcp45,2009,365,365
MIROC-ESM-CHEM,rcp45,2010,365,365
MIROC-ESM-CHEM,rcp45,2011,365,365
MIROC-ESM-CHEM,rcp45,2012,365,365
MIROC-ESM-CHEM,rcp45,2013,365,365
MIROC-ESM-CHEM,rcp45,2014,365,365
MIROC-ESM-CHEM,rcp45,2015,365,365
MIROC-ESM-CHEM,rcp45,2016,365,365
MIROC-ESM-CHEM,rcp45,2017,365,365
MIROC-ESM-CHEM,rcp45,2018,365,365
MIROC-ESM-CHEM,rcp45,2019,365,365
MIROC-ESM-CHEM,rcp45,2020,365,365
MIROC-ESM-CHEM,rcp45,2021,365,365
MIROC-ESM-CHEM,rcp45,2022,365,365
MIROC-ESM-CHEM,rcp45,2023,365,365
MIROC-ESM-CHEM,rcp45,2024,365,365
MIROC-ESM-CHEM,rcp45,2025,365,365
MIROC-ESM-CHEM,rcp45,2026,365,365
MIROC-ESM-CHEM,rcp45,2027,365,365
MIROC-ESM-CHEM,rcp45,2028,365,365
MIROC-ESM-CHEM,rcp45,2029,365,365
MIROC-ESM-CHEM,rcp45,2030,365,365
MIROC-ESM-CHEM,rcp45,2031,365,365
MIROC-ESM-CHEM,rcp45,2032,365,365
MIROC-ESM-CHEM,rcp45,2033,365,365
MIROC-ESM-CHEM,rcp45,2034,365,365
MIROC-ESM-CHEM,rcp45,2035,365,365
MIROC-ESM-CHEM,rcp45,2036,365,365
MIROC-ESM-CHEM,rcp60,2006,365,365
MIROC-ESM-CHEM,rcp60,2007,365,365
MIROC-ESM-CHEM,rcp60,2008,365,365
MIROC-ESM-CHEM,rcp60,2009,365,365
MIROC-ESM-CHEM,rcp60,2010,365,365
MIROC-ESM-CHEM,rcp60,2011,365,365
MIROC-ESM-CHEM,rcp60,2012,365,365
MIROC-ESM-CHEM,rcp60,2013,365,365
MIROC-ESM-CHEM,rcp60,2014,365,365
MIROC-ESM-CHEM,rcp60,2015,365,365
MIROC-ESM-CHEM,rcp60,2016,365,365
MIROC-ESM-CHEM,rcp60,2017,365,365
MIROC-ESM-CHEM,rcp60,2018,365,365
MIROC-ESM-CHEM,rcp60,2019,365,365
MIROC-ESM-CHEM,rcp60,2020,365,365
MIROC-ESM-CHEM,rcp60,2021,365,365
MIROC-ESM-CHEM,rcp60,2022,365,365
MIROC-ESM-CHEM,rcp60,2023,365,365
MIROC-ESM-CHEM,rcp60,2024,365,365
MIROC-ESM-CHEM,rcp60,2025,365,365
MIROC-ESM-CHEM,rcp60,2026,365,365
MIROC-ESM-CHEM,rcp60,2027,365,365
MIROC-ESM-CHEM,rcp60,2028,365,365
MIROC-ESM-CHEM,rcp60,2029,365,365
MIROC-ESM-CHEM,rcp60,2030,365,365
MIROC-ESM-CHEM,rcp60,2031,365,365
MIROC-ESM-CHEM,rcp60,2032,365,365
MIROC-ESM-CHEM,rcp60,2033,365,365
MIROC-ESM-CHEM,rcp60,2034,365,365
MIROC-ESM-CHEM,rcp60,2035,365,365
MIROC-ESM-CHEM,rcp60,2036,365,365
MIROC-ESM-CHEM,rcp85,2006,365,365
MIROC-ESM-CHEM,rcp85,2007,365,365
MIROC-ESM-CHEM,rcp85,2008,365,365
MIROC-ESM-CHEM,rcp85,2009,365,365
MIROC-ESM-CHEM,rcp85,2010,365,365
MIROC-ESM-CHEM,rcp85,2011,365,365
MIROC-ESM-CHEM,rcp85,2012,365,365
MIROC-ESM-CHEM,rcp85,2013,365,365
MIROC-ESM-CHEM,rcp85,2014,365,365
MIROC-ESM-CHEM,rcp85,2015,365,365
MIROC-ESM-CHEM,rcp85,2016,365,365
MIROC-ESM-CHEM,rcp85,2017,365,365
MIROC-ESM-CHEM,rcp85,2018,365,365
MIROC-ESM-CHEM,rcp85,2019,365,365
MIROC-ESM-CHEM,rcp85,2020,365,365
MIROC-ESM-CHEM,rcp85,2021,365,365
MIROC-ESM-CHEM,rcp85,2022,365,365
MIROC-ESM-CHEM,rcp85,2023,365,365
MIROC-ESM-CHEM,rcp85,2024,365,365
MIROC-ESM-CHEM,rcp85,2025,365,365
MIROC-ESM-CHEM,rcp85,2026,365,365
MIROC-ESM-CHEM,rcp85,2027,365,365
MIROC-ESM-CHEM,rcp85,2028,365,365
MIROC-ESM-CHEM,rcp85,2029,365,365
MIROC-ESM-CHEM,rcp85,2030,365,365
MIROC-ESM-CHEM,rcp85,2031,365,365
MIROC-ESM-CHEM,rcp85,2032,365,365
MIROC-ESM-CHEM,rcp85,2033,365,365
MIROC-ESM-CHEM,rcp85,2034,365,365
MIROC-ESM-CHEM,rcp85,2035,365,365
MIROC-ESM-CHEM,rcp85,2036,365,365
MIROC5,historical,2000,365,365
MIROC5,historical,2001,365,365
MIROC5,historical,2002,365,365
MIROC5,historical,2003,365,365
MIROC5,historical,2004,365,365
MIROC5,historical,2005,365,365
MIROC5,rcp26,2006,365,365
MIROC5,rcp26,2007,365,365
MIROC5,rcp26,2008,365,365
MIROC5,rcp26,2009,365,365
MIROC5,rcp26,2010,365,365
MIROC5,rcp26,2011,365,365
MIROC5,rcp26,2012,365,365
MIROC5,rcp26,2013,365,365
MIROC5,rcp26,2014,365,365
MIROC5,rcp26,2015,365,365
MIROC5,rcp26,2016,365,365
MIROC5,rcp26,2017,365,365
MIROC5,rcp26,2018,365,365
MIROC5,rcp26,2019,365,365
MIROC5,rcp26,2020,365,365
MIROC5,rcp26,2021,365,365
MIROC5,rcp26,2022,365,365
MIROC5,rcp26,2023,365,365
MIROC5,rcp26,2024,365,365
MIROC5,rcp26,2025,365,365
MIROC5,rcp26,2026,365,365
MIROC5,rcp26,2027,365,365
MIROC5,rcp26,2028,365,365
MIROC5,rcp26,2029,365,365
MIROC5,rcp26,2030,365,365
MIROC5,rcp26,2031,365,365
MIROC5,rcp26,2032,365,365
MIROC5,rcp26,2033,365,365
MIROC5,rcp26,2034,365,365
MIROC5,rcp26,2035,365,365
MIROC5,rcp26,2036,365,365
MIROC5,rcp45,2006,365,365
MIROC5,rcp45,2007,365,365
MIROC5,rcp45,2008,365,365
MIROC5,rcp45,2009,365,365
MIROC5,rcp45,2010,365,365
MIROC5,rcp45,2011,365,365
MIROC5,rcp45,2012,365,365
MIROC5,rcp45,2013,365,365
MIROC5,rcp45,2014,365,365
MIROC5,rcp45,2015,365,365
MIROC5,rcp45,2016,365,365
MIROC5,rcp45,2017,365,365
MIROC5,rcp45,2018,365,365
MIROC5,rcp45,2019,365,365
MIROC5,rcp45,2020,365,365
MIROC5,rcp45,2021,365,365
MIROC5,rcp45,2022,365,365
MIROC5,rcp45,2023,365,365
MIROC5,rcp45,2024,365,365
MIROC5,rcp45,2025,365,365
MIROC5,rcp45,2026,365,365
MIROC5,rcp45,2027,365,365
MIROC5,rcp45,2028,365,365
MIROC5,rcp45,2029,365,365
MIROC5,rcp45,2030,365,365
MIROC5,rcp45,2031,365,365
MIROC5,rcp45,2032,365,365
MIROC5,rcp45,2033,365,365
MIROC5,rcp45,2034,365,365
MIROC5,rcp45,2035,365,365
MIROC5,rcp45,2036,365,365
MIROC5,rcp60,2006,365,365
MIROC5,rcp60,2007,365,365
MIROC5,rcp60,2008,365,365
MIROC5,rcp60,2009,365,365
MIROC5,rcp60,2010,365,365
MIROC5,rcp60,2011,365,365
MIROC5,rcp60,2012,365,365
MIROC5,rcp60,2013,365,365
MIROC5,rcp60,2014,365,365
MIROC5,rcp60,2015,365,365
MIROC5,rcp60,2016,365,365
MIROC5,rcp60,2017,365,365
MIROC5,rcp60,2018,365,365
MIROC5,rcp60,2019,365,365
MIROC5,rcp60,2020,365,365
MIROC5,rcp60,2021,365,365
MIROC5,rcp60,2022,365,365
MIROC5,rcp60,2023,365,365
MIROC5,rcp60,2024,365,365
MIROC5,rcp60,2025,365,365
MIROC5,rcp60,2026,365,365
MIROC5,rcp60,2027,365,365
MIROC5,rcp60,2028,365,365
MIROC5,rcp60,2029,365,365
MIROC5,rcp60,2030,365,365
MIROC5,rcp60,2031,365,365
MIROC5,rcp60,2032,365,365
MIROC5,rcp60,2033,365,365
MIROC5,rcp60,2034,365,365
MIROC5,rcp60,2035,365,365
MIROC5,rcp60,2036,365,365
MIROC5,rcp85,2006,365,365
MIROC5,rcp85,2007,365,365
MIROC5,rcp85,2008,365,365
MIROC5,rcp85,2009,365,365
MIROC5,rcp85,2010,365,365
MIROC5,rcp85,2011,365,365
MIROC5,rcp85,2012,365,365
MIROC5,rcp85,2013,365,365
MIROC5,rcp85,2014,365,365
MIROC5,rcp85,2015,365,365
MIROC5,rcp85,2016,365,365
MIROC5,rcp85,2017,365,365
MIROC5,rcp85,2018,365,365
MIROC5,rcp85,2019,365,365
MIROC5,rcp85,2020,365,365
MIROC5,rcp85,2021,365,365
MIROC5,rcp85,2022,365,365
MIROC5,rcp85,2023,365,365
MIROC5,rcp85,2024,365,365
MIROC5,rcp85,2025,365,365
MIROC5,rcp85,2026,365,365
MIROC5,rcp85,2027,365,365
MIROC5,rcp85,2028,365,365
MIROC5,rcp85,2029,365,365
MIROC5,rcp85,2030,365,365
MIROC5,rcp85,2031,365,365
MIROC5,rcp85,2032,365,365
MIROC5,rcp85,2033,365,365
MIROC5,rcp85,2034,365,365
MIROC5,rcp85,2035,365,365
MIROC5,rcp85,2036,365,365
MPI-ESM-LR,historical,2000,365,365
MPI-ESM-LR,historical,2001,365,365
MPI-ESM-LR,historical,2002,365,365
MPI-ESM-LR,historical,2003,365,365
MPI-ESM-LR,historical,2004,365,365
MPI-ESM-LR,historical,2005,365,365
MPI-ESM-LR,rcp26,2006,365,365
MPI-ESM-LR,rcp26,2007,365,365
MPI-ESM-LR,rcp26,2008,365,365
MPI-ESM-LR,rcp26,2009,365,365
MPI-ESM-LR,rcp26,2010,365,365
MPI-ESM-LR,rcp26,2011,365,365
MPI-ESM-LR,rcp26,2012,365,365
MPI-ESM-LR,rcp26,2013,365,365
MPI-ESM-LR,rcp26,2014,365,365
MPI-ESM-LR,rcp26,2015,365,365
MPI-ESM-LR,rcp26,2016,365,365
MPI-ESM-LR,rcp26,2017,365,365
MPI-ESM-LR,rcp26,2018,365,365
MPI-ESM-LR,rcp26,2019,365,365
MPI-ESM-LR,rcp26,2020,365,365
MPI-ESM-LR,rcp26,2021,365,365
MPI-ESM-LR,rcp26,2022,365,365
MPI-ESM-LR,rcp26,2023,365,365
MPI-ESM-LR,rcp26,2024,365,365
MPI-ESM-LR,rcp26,2025,365,365
MPI-ESM-LR,rcp26,2026,365,365
MPI-ESM-LR,rcp26,2027,365,365
MPI-ESM-LR,rcp26,2028,365,365
MPI-ESM-LR,rcp26,2029,365,365
MPI-ESM-LR,rcp26,2030,365,365
MPI-ESM-LR,rcp26,2031,365,365
MPI-ESM-LR,rcp26,2032,365,365
MPI-ESM-LR,rcp26,2033,365,365
MPI-ESM-LR,rcp26,2034,365,365
MPI-ESM-LR,rcp26,2035,365,365
MPI-ESM-LR,rcp26,2036,365,365
MPI-ESM-LR,rcp45,2006,365,365
MPI-ESM-LR,rcp45,2007,365,365
MPI-ESM-LR,rcp45,2008,365,365
MPI-ESM-LR,rcp45,2009,365,365
MPI-ESM-LR,rcp45,2010,365,365
MPI-ESM-LR,rcp45,2011,365,365
MPI-ESM-LR,rcp45,2012,365,365
MPI-ESM-LR,rcp45,2013,365,365
MPI-ESM-LR,rcp45,2014,365,365
MPI-ESM-LR,rcp45,2015,365,365
MPI-ESM-LR,rcp45,2016,365,365
MPI-ESM-LR,rcp45,2017,365,365
MPI-ESM-LR,rcp45,2018,365,365
MPI-ESM-LR,rcp45,2019,365,365
MPI-ESM-LR,rcp45,2020,365,365
MPI-ESM-LR,rcp45,2021,365,365
MPI-ESM-LR,rcp45,2022,365,365
MPI-ESM-LR,rcp45,2023,365,365
MPI-ESM-LR,rcp45,2024,365,365
MPI-ESM-LR,rcp45,2025,365,365
MPI-ESM-LR,rcp45,2026,365,365
MPI-ESM-LR,rcp45,2027,365,365
MPI-ESM-LR,rcp45,2028,365,365
MPI-ESM-LR,rcp45,2029,365,365
MPI-ESM-LR,rcp45,2030,365,365
MPI-ESM-LR,rcp45,2031,365,365
MPI-ESM-LR,rcp45,2032,365,365
MPI-ESM-LR,rcp45,2033,365,365
MPI-ESM-LR,rcp45,2034,365,365
MPI-ESM-LR,rcp45,2035,365,365
MPI-ESM-LR,rcp45,2036,365,365
MPI-ESM-LR,rcp85,2006,365,365
MPI-ESM-LR,rcp85,2007,365,365
MPI-ESM-LR,rcp85,2008,365,365
MPI-ESM-LR,rcp85,2009,365,365
MPI-ESM-LR,rcp85,2010,365,365
MPI-ESM-LR,rcp85,2011,365,365
MPI-ESM-LR,rcp85,2012,365,365
MPI-ESM-LR,rcp85,2013,365,365
MPI-ESM-LR,rcp85,2014,365,365
MPI-ESM-LR,rcp85,2015,365,365
MPI-ESM-LR,rcp85,2016,365,365
MPI-ESM-LR,rcp85,2017,365,365
MPI-ESM-LR,rcp85,2018,365,365
MPI-ESM-LR,rcp85,2019,365,365
MPI-ESM-LR,rcp85,2020,365,365
MPI-ESM-LR,rcp85,2021,365,365
MPI-ESM-LR,rcp85,2022,365,365
MPI-ESM-LR,rcp85,2023,365,365
MPI-ESM-LR,rcp85,2024,365,365
MPI-ESM-LR,rcp85,2025,365,365
MPI-ESM-LR,rcp85,2026,365,365
MPI-ESM-LR,rcp85,2027,365,365
MPI-ESM-LR,rcp85,2028,365,365
MPI-ESM-LR,rcp85,2029,365,365
MPI-ESM-LR,rcp85,2030,365,365
MPI-ESM-LR,rcp85,2031,365,365
MPI-ESM-LR,rcp85,2032,365,365
MPI-ESM-LR,rcp85,2033,365,365
MPI-ESM-LR,rcp85,2034,365,365
MPI-ESM-LR,rcp85,2035,365,365
MPI-ESM-LR,rcp85,2036,365,365
MPI-ESM-MR,historical,2000,365,365
MPI-ESM-MR,historical,2001,365,365
MPI-ESM-MR,historical,2002,365,365
MPI-ESM-MR,historical,2003,365,365
MPI-ESM-MR,historical,2004,365,365
MPI-ESM-MR,historical,2005,365,365
MPI-ESM-MR,rcp26,2006,365,365
MPI-ESM-MR,rcp26,2007,365,365
MPI-ESM-MR,rcp26,2008,365,365
MPI-ESM-MR,rcp26,2009,365,365
MPI-ESM-MR,rcp26,2010,365,365
MPI-ESM-MR,rcp26,2011,365,365
MPI-ESM-MR,rcp26,2012,365,365
MPI-ESM-MR,rcp26,2013,365,365
MPI-ESM-MR,rcp26,2014,365,365
MPI-ESM-MR,rcp26,2015,365,365
MPI-ESM-MR,rcp26,2016,365,365
MPI-ESM-MR,rcp26,2017,365,365
MPI-ESM-MR,rcp26,2018,365,365
MPI-ESM-MR,rcp26,2019,365,365
MPI-ESM-MR,rcp26,2020,365,365
MPI-ESM-MR,rcp26,2021,365,365
MPI-ESM-MR,rcp26,2022,365,365
MPI-ESM-MR,rcp26,2023,365,365
MPI-ESM-MR,rcp26,2024,365,365
MPI-ESM-MR,rcp26,2025,365,365
MPI-ESM-MR,rcp26,2026,365,365
MPI-ESM-MR,rcp26,2027,365,365
MPI-ESM-MR,rcp26,2028,365,365
MPI-ESM-MR,rcp26,2029,365,365
MPI-ESM-MR,rcp26,2030,365,365
MPI-ESM-MR,rcp26,2031,365,365
MPI-ESM-MR,rcp26,2032,365,365
MPI-ESM-MR,rcp26,2033,365,365
MPI-ESM-MR,rcp26,2034,365,365
MPI-ESM-MR,rcp26,2035,365,365
MPI-ESM-MR,rcp26,2036,365,365
MPI-ESM-MR,rcp45,2006,365,365
MPI-ESM-MR,rcp45,2007,365,365
MPI-ESM-MR,rcp45,2008,365,365
MPI-ESM-MR,rcp45,2009,365,365
MPI-ESM-MR,rcp45,2010,365,365
MPI-ESM-MR,rcp45,2011,365,365
MPI-ESM-MR,rcp45,2012,365,365
MPI-ESM-MR,rcp45,2013,365,365
MPI-ESM-MR,rcp45,2014,365,365
MPI-ESM-MR,rcp45,2015,365,365
MPI-ESM-MR,rcp45,2016,365,365
MPI-ESM-MR,rcp45,2017,365,365
MPI-ESM-MR,rcp45,2018,365,365
MPI-ESM-MR,rcp45,2019,365,365
MPI-ESM-MR,rcp45,2020,365,365
MPI-ESM-MR,rcp45,2021,365,365
MPI-ESM-MR,rcp45,2022,365,365
MPI-ESM-MR,rcp45,2023,365,365
MPI-ESM-MR,rcp45,2024,365,365
MPI-ESM-MR,rcp45,2025,365,365
MPI-ESM-MR,rcp45,2026,365,365
MPI-ESM-MR,rcp45,2027,365,365
MPI-ESM-MR,rcp45,2028,365,365
MPI-ESM-MR,rcp45,2029,365,365
MPI-ESM-MR,rcp45,2030,365,365
MPI-ESM-MR,rcp45,2031,365,365
MPI-ESM-MR,rcp45,2032,365,365
MPI-ESM-MR,rcp45,2033,365,365
MPI-ESM-MR,rcp45,2034,365,365
MPI-ESM-MR,rcp45,2035,365,365
MPI-ESM-MR,rcp45,2036,365,365
MPI-ESM-MR,rcp85,2006,365,365
MPI-ESM-MR,rcp85,2007,365,365
MPI-ESM-MR,rcp85,2008,365,365
MPI-ESM-MR,rcp85,2009,365,365
MPI-ESM-MR,rcp85,2010,365,365
MPI-ESM-MR,rcp85,2011,365,365
MPI-ESM-MR,rcp85,2012,365,365
MPI-ESM-MR,rcp85,2013,365,365
MPI-ESM-MR,rcp85,2014,365,365
MPI-ESM-MR,rcp85,2015,365,365
MPI-ESM-MR,rcp85,2016,365,365
MPI-ESM-MR,rcp85,2017,365,365
MPI-ESM-MR,rcp85,2018,365,365
MPI-ESM-MR,rcp85,2019,365,365
MPI-ESM-MR,rcp85,2020,365,365
MPI-ESM-MR,rcp85,2021,365,365
MPI-ESM-MR,rcp85,2022,365,365
MPI-ESM-MR,rcp85,2023,365,365
MPI-ESM-MR,rcp85,2024,365,365
MPI-ESM-MR,rcp85,2025,365,365
MPI-ESM-MR,rcp85,2026,365,365
MPI-ESM-MR,rcp85,2027,365,365
MPI-ESM-MR,rcp85,2028,365,365
MPI-ESM-MR,rcp85,2029,365,365
MPI-ESM-MR,rcp85,2030,365,365
MPI-ESM-MR,rcp85,2031,365,365
MPI-ESM-MR,rcp85,2032,365,365
MPI-ESM-MR,rcp85,2033,365,365
MPI-ESM-MR,rcp85,2034,365,365
MPI-ESM-MR,rcp85,2035,365,365
MPI-ESM-MR,rcp85,2036,365,365
MRI-CGCM3,historical,2000,365,365
MRI-CGCM3,historical,2001,365,365
MRI-CGCM3,historical,2002,365,365
MRI-CGCM3,historical,2003,365,365
MRI-CGCM3,historical,2004,365,365
MRI-CGCM3,historical,2005,365,365
MRI-CGCM3,rcp26,2006,365,365
MRI-CGCM3,rcp26,2007,365,365
MRI-CGCM3,rcp26,2008,365,365
MRI-CGCM3,rcp26,2009,365,365
MRI-CGCM3,rcp26,2010,365,365
MRI-CGCM3,rcp26,2011,365,365
MRI-CGCM3,rcp26,2012,365,365
MRI-CGCM3,rcp26,2013,365,365
MRI-CGCM3,rcp26,2014,365,365
MRI-CGCM3,rcp26,2015,365,365
MRI-CGCM3,rcp26,2016,365,365
MRI-CGCM3,rcp26,2017,365,365
MRI-CGCM3,rcp26,2018,365,365
MRI-CGCM3,rcp26,2019,365,365
MRI-CGCM3,rcp26,2020,365,365
MRI-CGCM3,rcp26,2021,365,365
MRI-CGCM3,rcp26,2022,365,365
MRI-CGCM3,rcp26,2023,365,365
MRI-CGCM3,rcp26,2024,365,365
MRI-CGCM3,rcp26,2025,365,365
MRI-CGCM3,rcp26,2026,365,365
MRI-CGCM3,rcp26,2027,365,365
MRI-CGCM3,rcp26,2028,365,365
MRI-CGCM3,rcp26,2029,365,365
MRI-CGCM3,rcp26,2030,365,365
MRI-CGCM3,rcp26,2031,365,365
MRI-CGCM3,rcp26,2032,365,365
MRI-CGCM3,rcp26,2033,365,365
MRI-CGCM3,rcp26,2034,365,365
MRI-CGCM3,rcp26,2035,365,365
MRI-CGCM3,rcp26,2036,365,365
MRI-CGCM3,rcp45,2006,365,365
MRI-CGCM3,rcp45,2007,365,365
MRI-CGCM3,rcp45,2008,365,365
MRI-CGCM3,rcp45,2009,365,365
MRI-CGCM3,rcp45,2010,365,365
MRI-CGCM3,rcp45,2011,365,365
MRI-CGCM3,rcp45,2012,365,365
MRI-CGCM3,rcp45,2013,365,365
MRI-CGCM3,rcp45,2014,365,365
MRI-CGCM3,rcp45,2015,365,365
MRI-CGCM3,rcp45,2016,365,365
MRI-CGCM3,rcp45,2017,365,365
MRI-CGCM3,rcp45,2018,365,365
MRI-CGCM3,rcp45,2019,365,365
MRI-CGCM3,rcp45,2020,365,365
MRI-CGCM3,rcp45,2021,365,365
MRI-CGCM3,rcp45,2022,365,365
MRI-CGCM3,rcp45,2023,365,365
MRI-CGCM3,rcp45,2024,365,365
MRI-CGCM3,rcp45,2025,365,365
MRI-CGCM3,rcp45,2026,365,365
MRI-CGCM3,rcp45,2027,365,365
MRI-CGCM3,rcp45,2028,365,365
MRI-CGCM3,rcp45,2029,365,365
MRI-CGCM3,rcp45,2030,365,365
MRI-CGCM3,rcp45,2031,365,365
MRI-CGCM3,rcp45,2032,365,365
MRI-CGCM3,rcp45,2033,365,365
MRI-CGCM3,rcp45,2034,365,365
MRI-CGCM3,rcp45,2035,365,365
MRI-CGCM3,rcp45,2036,365,365
MRI-CGCM3,rcp60,2006,365,365
MRI-CGCM3,rcp60,2007,365,365
MRI-CGCM3,rcp60,2008,365,365
MRI-CGCM3,rcp60,2009,365,365
MRI-CGCM3,rcp60,2010,365,365
MRI-CGCM3,rcp60,2011,365,365
MRI-CGCM3,rcp60,2012,365,365
MRI-CGCM3,rcp60,2013,365,365
MRI-CGCM3,rcp60,2014,365,365
MRI-CGCM3,rcp60,2015,365,365
MRI-CGCM3,rcp60,2016,365,365
MRI-CGCM3,rcp60,2017,365,365
MRI-CGCM3,rcp60,2018,365,365
MRI-CGCM3,rcp60,2019,365,365
MRI-CGCM3,rcp60,2020,365,365
MRI-CGCM3,rcp60,2021,365,365
MRI-CGCM3,rcp60,2022,365,365
MRI-CGCM3,rcp60,2023,365,365
MRI-CGCM3,rcp60,2024,365,365
MRI-CGCM3,rcp60,2025,365,365
MRI-CGCM3,rcp60,2026,365,365
MRI-CGCM3,rcp60,2027,365,365
MRI-CGCM3,rcp60,2028,365,365
MRI-CGCM3,rcp60,2029,365,365
MRI-CGCM3,rcp60,2030,365,365
MRI-CGCM3,rcp60,2031,365,365
MRI-CGCM3,rcp60,2032,365,365
MRI-CGCM3,rcp60,2033,365,365
MRI-CGCM3,rcp60,2034,365,365
MRI-CGCM3,rcp60,2035,365,365
MRI-CGCM3,rcp60,2036,365,365
MRI-CGCM3,rcp85,2006,365,365
MRI-CGCM3,rcp85,2007,365,365
MRI-CGCM3,rcp85,2008,365,365
MRI-CGCM3,rcp85,2009,365,365
MRI-CGCM3,rcp85,2010,365,365
MRI-CGCM3,rcp85,2011,365,365
MRI-CGCM3,rcp85,2012,365,365
MRI-CGCM3,rcp85,2013,365,365
MRI-CGCM3,rcp85,2014,365,365
MRI-CGCM3,rcp85,2015,365,365
MRI-CGCM3,rcp85,2016,365,365
MRI-CGCM3,rcp85,2017,365,365
MRI-CGCM3,rcp85,2018,365,365
MRI-CGCM3,rcp85,2019,365,365
MRI-CGCM3,rcp85,2020,365,365
MRI-CGCM3,rcp85,2021,365,365
MRI-CGCM3,rcp85,2022,365,365
MRI-CGCM3,rcp85,2023,365,365
MRI-CGCM3,rcp85,2024,365,365
MRI-CGCM3,rcp85,2025,365,365
MRI-CGCM3,rcp85,2026,365,365
MRI-CGCM3,rcp85,2027,365,365
MRI-CGCM3,rcp85,2028,365,365
MRI-CGCM3,rcp85,2029,365,365
MRI-CGCM3,rcp85,2030,365,365
MRI-CGCM3,rcp85,2031,365,365
MRI-CGCM3,rcp85,2032,365,365
MRI-CGCM3,rcp85,2033,365,365
MRI-CGCM3,rcp85,2034,365,365
MRI-CGCM3,rcp85,2035,365,365
MRI-CGCM3,rcp85,2036,365,365
MRI-ESM1,historical,2000,365,365
MRI-ESM1,historical,2001,365,365
MRI-ESM1,historical,2002,365,365
MRI-ESM1,historical,2003,365,365
MRI-ESM1,historical,2004,365,365
MRI-ESM1,historical,2005,365,365
MRI-ESM1,rcp85,2006,365,365
